net,length_um
clknet_0_clk,1.14493mm
net1116,1.13736mm
_03480_,948.8µm
net853,912.35µm
net1130,894.34µm
net835,876.78µm
net1642,871.58µm
net1119,812.75µm
net844,797.73µm
net1138,791.37µm
net1154,770.2µm
net433,762.76µm
net1146,736.18µm
net417,727.34µm
net441,677.7µm
net369,661.39µm
net425,646.88µm
net1157,645.66µm
net1149,637.72µm
net401,637.07µm
net393,624.71µm
net1124,620.23µm
_05417_,618.46µm
net518,616.81µm
net834,616.15µm
net409,615.94µm
_03127_,613.99µm
net449,606.64µm
net1141,597.35µm
net385,595.45µm
net666,585.135µm
net1212,583.84µm
net530,566.7µm
net1282,564.21µm
net98,564.05µm
net482,557µm
net392,556.94µm
net351,556.275µm
net408,552.66µm
net1591,547.01µm
net410,546.88µm
net361,546.32µm
net400,545.8µm
net529,545.08µm
net478,541.21µm
net665,538.61µm
net384,536.4µm
net1495,533.13µm
net494,532.65µm
net1128,530.8µm
net1113,529.31µm
net418,529.16µm
net470,528.3µm
net1376,526.94µm
net517,526.92µm
net586,526.905µm
net799,526.05µm
net508,525.25µm
net434,525.03µm
net1143,524.29µm
net515,523.92µm
net466,520.5µm
net681,517.125µm
net1174,516.69µm
net656,515.105µm
net1641,514.28µm
net532,513.18µm
net805,513.16µm
net1156,512.27µm
net829,511.98µm
net511,511.83µm
net1140,510.64µm
net1135,509.36µm
net838,507.68µm
net350,507.5µm
net527,506.18µm
net448,505.405µm
net506,504.17µm
net847,502.42µm
net1645,501.53µm
net446,500.545µm
net1148,500.5µm
net363,499.89µm
net1518,499.345µm
net1225,497.08µm
net1632,497.06µm
net1151,496.99µm
net842,496.785µm
net526,496.67µm
net503,496.52µm
net472,496.31µm
net795,496.06µm
net801,496.02µm
net833,493.33µm
clk,492.35µm
net520,491.9µm
net360,491.8µm
net1123,491.01µm
net1306,490.05µm
net443,489.7µm
net582,489.18µm
net1234,488.69µm
net1400,487.68µm
net455,486.24µm
net502,485.23µm
net382,483µm
net1129,481.42µm
net488,478.61µm
net398,478.58µm
net1223,476.28µm
_03133_,476.09µm
_03477_,475.11µm
net514,474.9µm
net796,474.86µm
net1115,473.87µm
net637,472.48µm
_03132_,471.87µm
net406,470.19µm
net672,468.66µm
net390,468.37µm
net851,468.1µm
net458,466.56µm
net492,466.56µm
net535,466.34µm
net686,465.26µm
net355,464.96µm
net1639,464.915µm
net1206,461.76µm
net387,461.42µm
_03506_,460.57µm
net556,460.34µm
net638,460.02µm
net1169,458.77µm
net543,458.64µm
net476,458.58µm
net580,458.37µm
net685,456.03µm
net1208,454.36µm
net652,453.7µm
net601,453.68µm
net368,453.33µm
net561,449.83µm
net483,449.48µm
net366,448.345µm
net663,447.29µm
net426,446.5µm
_03153_,445.81µm
net1203,441.97µm
net1634,440.83µm
net345,440.6µm
net562,439.85µm
net467,438.75µm
net519,438.65µm
net501,436.65µm
net378,435.16µm
net568,435.06µm
net404,434.2µm
net661,433.79µm
net1211,432.81µm
_03154_,431.42µm
net589,431.37µm
net1637,430.89µm
net484,429.675µm
net381,427.4µm
net660,426.82µm
net496,426.72µm
net659,426.32µm
net546,425.82µm
net575,423.82µm
net1187,422.07µm
net471,422.05µm
net806,421.67µm
net412,421.44µm
net1127,421.14µm
_05593_,420.65µm
net380,420.58µm
net1217,420.3µm
net1644,419.68µm
net379,419.46µm
net479,419.44µm
net328,419.26µm
net639,419.24µm
net423,418.13µm
net577,417.87µm
_05592_,416.64µm
net655,415.8µm
net684,412.91µm
_03508_,411.38µm
net677,410.52µm
net490,410.43µm
net389,410.01µm
net1328,409.89µm
net573,408.03µm
net1222,407.99µm
net1233,407.655µm
net528,407.54µm
net371,407.48µm
net531,406.48µm
net523,406.26µm
net620,405.85µm
net362,403.575µm
net675,403.26µm
net356,402.48µm
net650,402.4µm
net497,401.76µm
net420,401.24µm
net386,401.12µm
net1179,401µm
net1177,400.58µm
net563,400.32µm
net465,400.14µm
net405,399.55µm
net421,399.51µm
net585,399.335µm
net1622,397.94µm
net437,397.465µm
net1180,397.22µm
net668,397.16µm
net629,397.055µm
net1618,396.77µm
net1422,396.66µm
net571,396.27µm
net428,395.72µm
net1168,395.58µm
net1165,395.11µm
net439,395.055µm
net613,394.52µm
net1216,394.06µm
net395,393.52µm
net329,393.51µm
net604,392.51µm
net480,391.66µm
net658,391.075µm
net588,391.01µm
