Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_184_1089,VGND,li1,507.1500,511.3600,0.000000
FILLER_184_1077,VGND,li1,503.7000,511.3600,0.000000
FILLER_184_1065,VGND,li1,498.1800,511.3600,0.000000
FILLER_184_1061,VGND,li1,494.2700,511.3600,0.000000
FILLER_184_1049,VGND,li1,490.8200,511.3600,0.000000
FILLER_184_1037,VGND,li1,485.3000,511.3600,0.000000
FILLER_184_1033,VGND,li1,481.3900,511.3600,0.000001
FILLER_184_1021,VGND,li1,477.9400,511.3600,0.000001
FILLER_184_1009,VGND,li1,472.4200,511.3600,0.000001
FILLER_184_1005,VGND,li1,468.5100,511.3600,0.000001
FILLER_184_993,VGND,li1,465.0600,511.3600,0.000001
FILLER_184_981,VGND,li1,459.5400,511.3600,0.000002
FILLER_184_977,VGND,li1,455.6300,511.3600,0.000002
FILLER_184_965,VGND,li1,452.1800,511.3600,0.000002
FILLER_184_953,VGND,li1,446.6600,511.3600,0.000002
FILLER_184_949,VGND,li1,442.7500,511.3600,0.000002
FILLER_184_937,VGND,li1,439.3000,511.3600,0.000002
FILLER_184_925,VGND,li1,433.7800,511.3600,0.000003
FILLER_184_921,VGND,li1,429.8700,511.3600,0.000003
FILLER_184_909,VGND,li1,426.4200,511.3600,0.000003
FILLER_184_897,VGND,li1,420.9000,511.3600,0.000003
FILLER_184_893,VGND,li1,416.9900,511.3600,0.000003
FILLER_184_881,VGND,li1,413.5400,511.3600,0.000004
FILLER_184_869,VGND,li1,408.0200,511.3600,0.000004
FILLER_184_865,VGND,li1,404.1100,511.3600,0.000004
FILLER_184_853,VGND,li1,400.6600,511.3600,0.000004
FILLER_184_841,VGND,li1,395.1400,511.3600,0.000004
FILLER_184_838,VGND,li1,391.4600,511.3600,0.000005
FILLER_184_830,VGND,li1,389.1600,511.3600,0.000005
FILLER_184_790,VGND,li1,369.6100,511.3600,0.000005
FILLER_184_785,VGND,li1,367.0800,511.3600,0.000006
FILLER_184_777,VGND,li1,363.6300,511.3600,0.000005
FILLER_184_769,VGND,li1,360.1800,511.3600,0.000005
FILLER_184_762,VGND,li1,356.9600,511.3600,0.000005
FILLER_184_757,VGND,li1,354.2000,511.3600,0.000005
FILLER_184_753,VGND,li1,352.5900,511.3600,0.000005
FILLER_184_741,VGND,li1,349.1400,511.3600,0.000005
FILLER_184_729,VGND,li1,343.6200,511.3600,0.000004
FILLER_184_725,VGND,li1,339.7100,511.3600,0.000004
FILLER_184_713,VGND,li1,336.2600,511.3600,0.000004
FILLER_184_701,VGND,li1,330.7400,511.3600,0.000003
FILLER_184_698,VGND,li1,327.0600,511.3600,0.000004
FILLER_184_686,VGND,li1,323.8400,511.3600,0.000005
FILLER_184_679,VGND,li1,318.5500,511.3600,0.000006
FILLER_184_673,VGND,li1,315.5600,511.3600,0.000007
FILLER_184_671,VGND,li1,314.4100,511.3600,0.000008
FILLER_184_664,VGND,li1,311.8800,511.3600,0.000008
FILLER_184_658,VGND,li1,308.8900,511.3600,0.000009
FILLER_184_650,VGND,li1,305.4400,511.3600,0.000010
FILLER_184_645,VGND,li1,302.6800,511.3600,0.000010
FILLER_184_637,VGND,li1,299.2300,511.3600,0.000011
FILLER_184_630,VGND,li1,296.0100,511.3600,0.000011
FILLER_184_622,VGND,li1,292.5600,511.3600,0.000012
FILLER_184_617,VGND,li1,289.8000,511.3600,0.000012
FILLER_184_615,VGND,li1,288.6500,511.3600,0.000012
FILLER_184_608,VGND,li1,286.1200,511.3600,0.000013
FILLER_184_602,VGND,li1,283.1300,511.3600,0.000013
FILLER_184_595,VGND,li1,279.9100,511.3600,0.000013
FILLER_184_589,VGND,li1,276.9200,511.3600,0.000014
FILLER_184_587,VGND,li1,275.7700,511.3600,0.000014
FILLER_184_580,VGND,li1,273.2400,511.3600,0.000014
FILLER_184_574,VGND,li1,270.2500,511.3600,0.000014
FILLER_184_566,VGND,li1,266.8000,511.3600,0.000014
FILLER_184_561,VGND,li1,264.0400,511.3600,0.000015
FILLER_184_559,VGND,li1,262.8900,511.3600,0.000015
FILLER_184_555,VGND,li1,261.0500,511.3600,0.000015
FILLER_184_539,VGND,li1,253.9200,511.3600,0.000015
FILLER_184_533,VGND,li1,251.1600,511.3600,0.000015
FILLER_184_531,VGND,li1,250.0100,511.3600,0.000015
FILLER_184_462,VGND,li1,218.5000,511.3600,0.000013
FILLER_184_434,VGND,li1,205.6200,511.3600,0.000011
FILLER_184_429,VGND,li1,203.0900,511.3600,0.000010
FILLER_184_421,VGND,li1,199.6400,511.3600,0.000010
FILLER_184_419,VGND,li1,198.4900,511.3600,0.000009
FILLER_184_413,VGND,li1,196.1900,511.3600,0.000009
FILLER_184_408,VGND,li1,193.4300,511.3600,0.000009
FILLER_184_388,VGND,li1,184.2300,511.3600,0.000006
FILLER_184_384,VGND,li1,183.0800,511.3600,0.000006
FILLER_184_378,VGND,li1,180.0900,511.3600,0.000005
FILLER_184_356,VGND,li1,171.1200,511.3600,0.000006
FILLER_184_349,VGND,li1,166.9800,511.3600,0.000007
FILLER_184_343,VGND,li1,163.9900,511.3600,0.000007
FILLER_184_335,VGND,li1,159.8500,511.3600,0.000008
FILLER_184_329,VGND,li1,158.2400,511.3600,0.000008
FILLER_184_321,VGND,li1,154.1000,511.3600,0.000009
FILLER_184_314,VGND,li1,150.8800,511.3600,0.000009
FILLER_184_309,VGND,li1,148.1200,511.3600,0.000010
FILLER_184_300,VGND,li1,144.4400,511.3600,0.000010
FILLER_184_295,VGND,li1,141.6800,511.3600,0.000010
FILLER_184_281,VGND,li1,135.2400,511.3600,0.000010
FILLER_184_279,VGND,li1,134.0900,511.3600,0.000010
FILLER_184_271,VGND,li1,132.0200,511.3600,0.000011
FILLER_184_259,VGND,li1,127.4200,511.3600,0.000011
FILLER_184_253,VGND,li1,122.3600,511.3600,0.000011
FILLER_184_237,VGND,li1,115.2300,511.3600,0.000011
FILLER_184_233,VGND,li1,112.9300,511.3600,0.000011
FILLER_184_225,VGND,li1,110.8600,511.3600,0.000011
FILLER_184_222,VGND,li1,108.1000,511.3600,0.000011
FILLER_184_210,VGND,li1,104.8800,511.3600,0.000010
FILLER_184_188,VGND,li1,93.8400,511.3600,0.000010
FILLER_184_181,VGND,li1,89.7000,511.3600,0.000010
FILLER_184_177,VGND,li1,87.1700,511.3600,0.000009
FILLER_184_169,VGND,li1,85.1000,511.3600,0.000009
FILLER_184_165,VGND,li1,82.1100,511.3600,0.000009
FILLER_184_153,VGND,li1,78.6600,511.3600,0.000008
FILLER_184_141,VGND,li1,73.1400,511.3600,0.000008
FILLER_184_137,VGND,li1,69.2300,511.3600,0.000007
FILLER_184_125,VGND,li1,65.7800,511.3600,0.000007
FILLER_184_113,VGND,li1,60.2600,511.3600,0.000006
FILLER_184_109,VGND,li1,56.3500,511.3600,0.000005
FILLER_184_97,VGND,li1,52.9000,511.3600,0.000005
FILLER_184_85,VGND,li1,47.3800,511.3600,0.000004
FILLER_184_81,VGND,li1,43.4700,511.3600,0.000004
FILLER_184_69,VGND,li1,40.0200,511.3600,0.000003
FILLER_184_57,VGND,li1,34.5000,511.3600,0.000003
FILLER_184_53,VGND,li1,30.5900,511.3600,0.000002
FILLER_184_41,VGND,li1,27.1400,511.3600,0.000002
FILLER_184_29,VGND,li1,21.6200,511.3600,0.000001
FILLER_184_27,VGND,li1,18.1700,511.3600,0.000001
FILLER_184_15,VGND,li1,15.1800,511.3600,0.000001
FILLER_184_3,VGND,li1,9.6600,511.3600,0.000001
FILLER_183_1089,VGND,li1,507.1500,511.3600,0.000000
FILLER_183_1077,VGND,li1,503.7000,511.3600,0.000000
FILLER_183_1065,VGND,li1,498.1800,511.3600,0.000000
FILLER_183_1063,VGND,li1,494.7300,511.3600,0.000000
FILLER_183_1057,VGND,li1,493.1200,511.3600,0.000000
FILLER_183_1045,VGND,li1,488.9800,511.3600,0.000000
FILLER_183_1033,VGND,li1,483.4600,511.3600,0.000001
FILLER_183_1021,VGND,li1,477.9400,511.3600,0.000001
FILLER_183_1009,VGND,li1,472.4200,511.3600,0.000001
FILLER_183_1007,VGND,li1,468.9700,511.3600,0.000001
FILLER_183_1001,VGND,li1,467.3600,511.3600,0.000001
FILLER_183_989,VGND,li1,463.2200,511.3600,0.000001
FILLER_183_977,VGND,li1,457.7000,511.3600,0.000002
FILLER_183_965,VGND,li1,452.1800,511.3600,0.000002
FILLER_183_953,VGND,li1,446.6600,511.3600,0.000002
FILLER_183_951,VGND,li1,443.2100,511.3600,0.000002
FILLER_183_945,VGND,li1,441.6000,511.3600,0.000002
