Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_184_1089,VPWR,li1,507.1500,514.0800,1.800000
FILLER_184_1077,VPWR,li1,503.7000,514.0800,1.800000
FILLER_184_1065,VPWR,li1,498.1800,514.0800,1.800000
FILLER_184_1061,VPWR,li1,494.2700,514.0800,1.800000
FILLER_184_1049,VPWR,li1,490.8200,514.0800,1.800000
FILLER_184_1037,VPWR,li1,485.3000,514.0800,1.800000
FILLER_184_1033,VPWR,li1,481.3900,514.0800,1.800000
FILLER_184_1021,VPWR,li1,477.9400,514.0800,1.800000
FILLER_184_1009,VPWR,li1,472.4200,514.0800,1.799999
FILLER_184_1005,VPWR,li1,468.5100,514.0800,1.799999
FILLER_184_993,VPWR,li1,465.0600,514.0800,1.799999
FILLER_184_981,VPWR,li1,459.5400,514.0800,1.799999
FILLER_184_977,VPWR,li1,455.6300,514.0800,1.799999
FILLER_184_965,VPWR,li1,452.1800,514.0800,1.799999
FILLER_184_953,VPWR,li1,446.6600,514.0800,1.799998
FILLER_184_949,VPWR,li1,442.7500,514.0800,1.799998
FILLER_184_937,VPWR,li1,439.3000,514.0800,1.799998
FILLER_184_925,VPWR,li1,433.7800,514.0800,1.799998
FILLER_184_921,VPWR,li1,429.8700,514.0800,1.799998
FILLER_184_909,VPWR,li1,426.4200,514.0800,1.799998
FILLER_184_897,VPWR,li1,420.9000,514.0800,1.799997
FILLER_184_893,VPWR,li1,416.9900,514.0800,1.799997
FILLER_184_881,VPWR,li1,413.5400,514.0800,1.799997
FILLER_184_869,VPWR,li1,408.0200,514.0800,1.799997
FILLER_184_865,VPWR,li1,404.1100,514.0800,1.799997
FILLER_184_853,VPWR,li1,400.6600,514.0800,1.799997
FILLER_184_841,VPWR,li1,395.1400,514.0800,1.799997
FILLER_184_838,VPWR,li1,391.4600,514.0800,1.799996
FILLER_184_830,VPWR,li1,389.1600,514.0800,1.799996
FILLER_184_790,VPWR,li1,369.6100,514.0800,1.799996
FILLER_184_785,VPWR,li1,367.0800,514.0800,1.799996
FILLER_184_777,VPWR,li1,363.6300,514.0800,1.799996
FILLER_184_769,VPWR,li1,360.1800,514.0800,1.799996
FILLER_184_762,VPWR,li1,356.9600,514.0800,1.799996
FILLER_184_757,VPWR,li1,354.2000,514.0800,1.799996
FILLER_184_753,VPWR,li1,352.5900,514.0800,1.799996
FILLER_184_741,VPWR,li1,349.1400,514.0800,1.799996
FILLER_184_729,VPWR,li1,343.6200,514.0800,1.799996
FILLER_184_725,VPWR,li1,339.7100,514.0800,1.799997
FILLER_184_713,VPWR,li1,336.2600,514.0800,1.799997
FILLER_184_701,VPWR,li1,330.7400,514.0800,1.799997
FILLER_184_698,VPWR,li1,327.0600,514.0800,1.799997
FILLER_184_686,VPWR,li1,323.8400,514.0800,1.799996
FILLER_184_679,VPWR,li1,318.5500,514.0800,1.799995
FILLER_184_673,VPWR,li1,315.5600,514.0800,1.799994
FILLER_184_671,VPWR,li1,314.4100,514.0800,1.799994
FILLER_184_664,VPWR,li1,311.8800,514.0800,1.799993
FILLER_184_658,VPWR,li1,308.8900,514.0800,1.799993
FILLER_184_650,VPWR,li1,305.4400,514.0800,1.799992
FILLER_184_645,VPWR,li1,302.6800,514.0800,1.799992
FILLER_184_637,VPWR,li1,299.2300,514.0800,1.799991
FILLER_184_630,VPWR,li1,296.0100,514.0800,1.799991
FILLER_184_622,VPWR,li1,292.5600,514.0800,1.799990
FILLER_184_617,VPWR,li1,289.8000,514.0800,1.799990
FILLER_184_615,VPWR,li1,288.6500,514.0800,1.799990
FILLER_184_608,VPWR,li1,286.1200,514.0800,1.799990
FILLER_184_602,VPWR,li1,283.1300,514.0800,1.799989
FILLER_184_595,VPWR,li1,279.9100,514.0800,1.799989
FILLER_184_589,VPWR,li1,276.9200,514.0800,1.799989
FILLER_184_587,VPWR,li1,275.7700,514.0800,1.799989
FILLER_184_580,VPWR,li1,273.2400,514.0800,1.799988
FILLER_184_574,VPWR,li1,270.2500,514.0800,1.799988
FILLER_184_566,VPWR,li1,266.8000,514.0800,1.799988
FILLER_184_561,VPWR,li1,264.0400,514.0800,1.799988
FILLER_184_559,VPWR,li1,262.8900,514.0800,1.799988
FILLER_184_555,VPWR,li1,261.0500,514.0800,1.799988
FILLER_184_539,VPWR,li1,253.9200,514.0800,1.799988
FILLER_184_533,VPWR,li1,251.1600,514.0800,1.799988
FILLER_184_531,VPWR,li1,250.0100,514.0800,1.799988
FILLER_184_462,VPWR,li1,218.5000,514.0800,1.799990
FILLER_184_434,VPWR,li1,205.6200,514.0800,1.799992
FILLER_184_429,VPWR,li1,203.0900,514.0800,1.799992
FILLER_184_421,VPWR,li1,199.6400,514.0800,1.799992
FILLER_184_419,VPWR,li1,198.4900,514.0800,1.799993
FILLER_184_413,VPWR,li1,196.1900,514.0800,1.799993
FILLER_184_408,VPWR,li1,193.4300,514.0800,1.799994
FILLER_184_388,VPWR,li1,184.2300,514.0800,1.799995
FILLER_184_384,VPWR,li1,183.0800,514.0800,1.799995
FILLER_184_378,VPWR,li1,180.0900,514.0800,1.799996
FILLER_184_356,VPWR,li1,171.1200,514.0800,1.799996
FILLER_184_349,VPWR,li1,166.9800,514.0800,1.799995
FILLER_184_343,VPWR,li1,163.9900,514.0800,1.799995
FILLER_184_335,VPWR,li1,159.8500,514.0800,1.799995
FILLER_184_329,VPWR,li1,158.2400,514.0800,1.799995
FILLER_184_321,VPWR,li1,154.1000,514.0800,1.799994
FILLER_184_314,VPWR,li1,150.8800,514.0800,1.799994
FILLER_184_309,VPWR,li1,148.1200,514.0800,1.799994
FILLER_184_300,VPWR,li1,144.4400,514.0800,1.799993
FILLER_184_295,VPWR,li1,141.6800,514.0800,1.799993
FILLER_184_281,VPWR,li1,135.2400,514.0800,1.799993
FILLER_184_279,VPWR,li1,134.0900,514.0800,1.799993
FILLER_184_271,VPWR,li1,132.0200,514.0800,1.799993
FILLER_184_259,VPWR,li1,127.4200,514.0800,1.799993
FILLER_184_253,VPWR,li1,122.3600,514.0800,1.799993
FILLER_184_237,VPWR,li1,115.2300,514.0800,1.799993
FILLER_184_233,VPWR,li1,112.9300,514.0800,1.799993
FILLER_184_225,VPWR,li1,110.8600,514.0800,1.799993
FILLER_184_222,VPWR,li1,108.1000,514.0800,1.799993
FILLER_184_210,VPWR,li1,104.8800,514.0800,1.799994
FILLER_184_188,VPWR,li1,93.8400,514.0800,1.799994
FILLER_184_181,VPWR,li1,89.7000,514.0800,1.799994
FILLER_184_177,VPWR,li1,87.1700,514.0800,1.799994
FILLER_184_169,VPWR,li1,85.1000,514.0800,1.799994
FILLER_184_165,VPWR,li1,82.1100,514.0800,1.799995
FILLER_184_153,VPWR,li1,78.6600,514.0800,1.799995
FILLER_184_141,VPWR,li1,73.1400,514.0800,1.799995
FILLER_184_137,VPWR,li1,69.2300,514.0800,1.799996
FILLER_184_125,VPWR,li1,65.7800,514.0800,1.799996
FILLER_184_113,VPWR,li1,60.2600,514.0800,1.799996
FILLER_184_109,VPWR,li1,56.3500,514.0800,1.799997
FILLER_184_97,VPWR,li1,52.9000,514.0800,1.799997
FILLER_184_85,VPWR,li1,47.3800,514.0800,1.799997
FILLER_184_81,VPWR,li1,43.4700,514.0800,1.799998
FILLER_184_69,VPWR,li1,40.0200,514.0800,1.799998
FILLER_184_57,VPWR,li1,34.5000,514.0800,1.799998
FILLER_184_53,VPWR,li1,30.5900,514.0800,1.799999
FILLER_184_41,VPWR,li1,27.1400,514.0800,1.799999
FILLER_184_29,VPWR,li1,21.6200,514.0800,1.799999
FILLER_184_27,VPWR,li1,18.1700,514.0800,1.799999
FILLER_184_15,VPWR,li1,15.1800,514.0800,1.799999
FILLER_184_3,VPWR,li1,9.6600,514.0800,1.799999
FILLER_183_1089,VPWR,li1,507.1500,508.6400,1.799998
FILLER_183_1077,VPWR,li1,503.7000,508.6400,1.799998
FILLER_183_1065,VPWR,li1,498.1800,508.6400,1.799998
FILLER_183_1063,VPWR,li1,494.7300,508.6400,1.799998
FILLER_183_1057,VPWR,li1,493.1200,508.6400,1.799998
FILLER_183_1045,VPWR,li1,488.9800,508.6400,1.799998
FILLER_183_1033,VPWR,li1,483.4600,508.6400,1.799998
FILLER_183_1021,VPWR,li1,477.9400,508.6400,1.799997
FILLER_183_1009,VPWR,li1,472.4200,508.6400,1.799996
FILLER_183_1007,VPWR,li1,468.9700,508.6400,1.799995
FILLER_183_1001,VPWR,li1,467.3600,508.6400,1.799995
FILLER_183_989,VPWR,li1,463.2200,508.6400,1.799994
FILLER_183_977,VPWR,li1,457.7000,508.6400,1.799993
FILLER_183_965,VPWR,li1,452.1800,508.6400,1.799992
FILLER_183_953,VPWR,li1,446.6600,508.6400,1.799991
FILLER_183_951,VPWR,li1,443.2100,508.6400,1.799990
FILLER_183_945,VPWR,li1,441.6000,508.6400,1.799990
FILLER_183_933,VPWR,li1,437.4600,508.6400,1.799989
FILLER_183_921,VPWR,li1,431.9400,508.6400,1.799988
FILLER_183_909,VPWR,li1,426.4200,508.6400,1.799987
FILLER_183_897,VPWR,li1,420.9000,508.6400,1.799986
FILLER_183_895,VPWR,li1,417.4500,508.6400,1.799985
FILLER_183_889,VPWR,li1,415.8400,508.6400,1.799985
FILLER_183_877,VPWR,li1,411.7000,508.6400,1.799984
FILLER_183_865,VPWR,li1,406.1800,508.6400,1.799983
FILLER_183_853,VPWR,li1,400.6600,508.6400,1.799982
FILLER_183_841,VPWR,li1,395.1400,508.6400,1.799981
FILLER_183_839,VPWR,li1,391.6900,508.6400,1.799980
FILLER_183_835,VPWR,li1,390.5400,508.6400,1.799980
FILLER_183_823,VPWR,li1,386.8600,508.6400,1.799980
FILLER_183_789,VPWR,li1,368.6900,508.6400,1.799976
FILLER_183_785,VPWR,li1,367.5400,508.6400,1.799976
FILLER_183_780,VPWR,li1,365.2400,508.6400,1.799976
FILLER_183_766,VPWR,li1,358.1100,508.6400,1.799974
FILLER_183_753,VPWR,li1,352.8200,508.6400,1.799977
FILLER_183_741,VPWR,li1,349.1400,508.6400,1.799978
FILLER_183_729,VPWR,li1,343.6200,508.6400,1.799981
FILLER_183_716,VPWR,li1,337.6400,508.6400,1.799984
FILLER_183_704,VPWR,li1,332.1200,508.6400,1.799985
FILLER_183_692,VPWR,li1,326.6000,508.6400,1.799984
